Broj indeksa,V1
00-247,4
12/0310,4
12/0419,4
12/0543,3
12/0557,4
12-484,3.5
13/0049,0
13/0061,4
13/0105,4
13/0135,4
14/0070,4
14/0089,4
14/0094,4
14/0105,4
14/0107,0
14/0306,4
14/0307,4
14/0315,3
14/0316,4
14/0318,4
14/0321,4
14/0336,4
14/0339,4
14/0341,4
14/0365,4
14/0366,4
14/0382,4
14/0385,4
14/0386,4
14/28,4
14/489,3
14-0103,3.5
14-0147,4
14-0150,4
14-0155,4
14-0165,4
14-0170,4
14-0172,4
14-0178,4
14-0185,4
14-0190,4
14-0193,4
14-0194,4
14-0198,4
14-0214,4
14-0298,3.5
14-0389,3.5
14-174,4
14-203,4
14-208,4
2008/0328,0
2009/0417,0
2011/0069,0
2011/0388,0
2011/0419,0
2011/0439,0
2012/0277,4
2013/0233,4
2013/0405,4
2013/0452,4
2013/0532,0
2013/0547,4
2013/0645,4
2013-0331,3.5
2014/0031,4
2014/0037,4
2014/0041,4
2014/0048,4
2014/0064,4
2014/0065,4
2014/0071,4
2014/0072,4
2014/0088,4
2014/0109,4
2014/0134,4
2014/0135,4
2014/0136,3
2014/0143,0
2014/0145,4
2014/0207,0
2014/0215,4
2014/0216,4
2014/0220,4
2014/0221,4
2014/0228,4
2014/0229,4
2014/0233,4
2014/0234,0
2014/0242,4
2014/0244,4
2014/0246,4
2014/0247,4
2014/0252,4
2014/0255,4
2014/0256,0
2014/0257,4
2014/0260,4
2014/0268,2
2014/0280,4
2014/0283,4
2014/0284,4
2014/0286,4
2014/0294,4
2014/0296,4
2014/0297,4
2014/0390,4
2014/0398,4
2014/0399,4
2014/0404,4
2014/0413,4
2014/0421,4
2014/0431,4
2014/0437,4
2014/0440,4
2014/0441,4
2014/0447,4
2014/0452,4
2014/0484,4
2014/0487,4
2014/0498,4
2014/0502,4
2014/0522,4
2014/0534,4
2014/0538,4
2014/0540,4
2014/0543,4
2014/0547,4
2014/0577,4
2014/0582,4
2014/0593,4
2014/0600,4
2014/0601,4
2014/0657,4
2014/259,0
2014/267,0
2014/274,0
2014/282,0
2014/423,0
2014/526,2.5
2014-0146,3.5
2014-0186,3.5
2014-0199,3.5
2014-0392,3.5
2014-0406,3.5
2014-0618,3.5
