V4,V3,V2,Broj indeksa
4,4,4,2000/0247
0,0,0,2008/0328
0,0,0,2009/0417
0,0,0,2011/0069
0,0,0,2011/0388
0,0,0,2011/0419
0,0,0,2011/0439
4,2.5,4,2012/0277
4,4,4,2012/0310
4,3,3,2012/0419
4,0,4,2012/0484
4,3,0,2012/0543
4,4,4,2012/0557
0,0,0,2013/0049
4,4,4,2013/0061
4,0,4,2013/0105
4,4,4,2013/0135
4,4,4,2013/0233
4,4,4,2013/0331
4,4,4,2013/0405
0,0,4,2013/0452
0,0,0,2013/0532
4,0,4,2013/0547
4,4,4,2013/0645
4,4,4,2014/0028
4,4,4,2014/0031
4,4,4,2014/0037
4,4,4,2014/0041
4,0,4,2014/0048
4,4,4,2014/0064
4,4,4,2014/0065
4,4,4,2014/0070
4,4,4,2014/0071
4,3.5,4,2014/0072
4,4,4,2014/0088
4,4,4,2014/0089
4,4,4,2014/0094
4,4,4,2014/0103
4,4,4,2014/0105
4,0,4,2014/0107
4,4,4,2014/0109
4,4,4,2014/0134
4,3,4,2014/0135
4,4,3.5,2014/0136
4,0,4,2014/0143
4,4,4,2014/0145
4,4,4,2014/0146
4,4,4,2014/0147
4,4,4,2014/0150
4,0,4,2014/0155
4,4,4,2014/0165
4,4,4,2014/0170
4,4,4,2014/0172
4,4,4,2014/0174
4,4,4,2014/0178
4,4,4,2014/0185
4,4,4,2014/0186
4,4,4,2014/0190
4,4,4,2014/0193
4,4,4,2014/0194
4,4,4,2014/0198
0,0,2,2014/0199
4,4,4,2014/0203
4,4,4,2014/0207
4,3.5,4,2014/0208
4,4,4,2014/0214
4,4,4,2014/0215
4,4,4,2014/0216
4,4,4,2014/0220
4,4,4,2014/0221
4,4,4,2014/0228
4,4,4,2014/0229
4,4,4,2014/0233
0,0,0,2014/0234
4,4,4,2014/0242
4,4,4,2014/0244
0,4,4,2014/0246
4,4,4,2014/0247
4,4,4,2014/0252
4,4,4,2014/0255
4,3,4,2014/0256
4,3,4,2014/0257
0,0,0,2014/0259
4,4,4,2014/0260
4,4,4,2014/0263
4,4,4,2014/0264
0,0,0,2014/0267
4,4,4,2014/0268
4,0,0,2014/0270
4,3.5,4,2014/0271
4,0,0,2014/0274
4,4,4,2014/0280
0,0,0,2014/0282
4,4,4,2014/0283
4,4,4,2014/0284
4,4,4,2014/0286
4,4,4,2014/0294
0,0,3.5,2014/0296
4,4,4,2014/0297
4,4,4,2014/0298
4,0,4,2014/0306
4,3,4,2014/0307
4,4,4,2014/0315
4,0,4,2014/0316
4,4,4,2014/0318
4,4,4,2014/0321
4,4,4,2014/0336
4,4,4,2014/0339
4,4,4,2014/0341
4,4,4,2014/0365
4,3.5,4,2014/0366
4,4,4,2014/0382
4,4,4,2014/0385
4,4,4,2014/0386
4,4,4,2014/0389
4,4,4,2014/0390
4,4,4,2014/0392
4,4,4,2014/0398
4,4,4,2014/0399
4,4,4,2014/0404
0,0,4,2014/0406
4,4,4,2014/0413
4,4,4,2014/0421
4,0,4,2014/0423
0,4,4,2014/0431
4,4,4,2014/0437
4,4,4,2014/0440
4,4,4,2014/0441
4,4,4,2014/0447
4,4,4,2014/0452
4,4,4,2014/0484
4,0,4,2014/0487
0,4,4,2014/0489
4,4,4,2014/0498
4,4,4,2014/0502
4,4,4,2014/0522
4,3,4,2014/0526
4,4,4,2014/0534
4,4,4,2014/0538
4,4,4,2014/0540
0,0,2.5,2014/0543
4,4,4,2014/0547
4,4,4,2014/0577
4,4,4,2014/0582
4,4,4,2014/0593
4,4,4,2014/0600
4,4,4,2014/0601
4,3,4,2014/0618
4,4,4,2014/0657
